#,channel,category,status,subscribers,youtube_url,content_style,level,why_include
1,Fireship,💻 Software Engineering,Keep,4.1M,https://www.youtube.com/@Fireship,"Lightning-fast coding explainers, AI tools, framework news — '100 seconds' series",Mixed (All Levels),Gold standard for bite-sized SWE trends & news
2,Computerphile,💻 Software Engineering,Keep,1.1M,https://www.youtube.com/@Computerphile,"Academic CS concepts, AI algorithms, expert interviews from Nottingham Uni",Intermediate,Deep conceptual CS — the thinking behind the code
3,Sebastian Lague,💻 Software Engineering,Keep,1.6M,https://www.youtube.com/@SebastianLague,"Creative coding, simulations, algorithm visualizations",Intermediate,"Best project-showcase channel — inspires, doesn't just instruct"
4,IBM Technology,💻 Software Engineering,Keep,1.1M,https://www.youtube.com/@IBMTechnology,"Enterprise AI, cloud, quantum, and developer explainers",Mixed (All Levels),Strong enterprise & industry perspective from a major lab
5,Google Developers,💻 Software Engineering,Keep,1.2M,https://www.youtube.com/@GoogleDevelopers,"AI/ML updates, I/O talks, engineering deep-dives from Google",Intermediate,Direct from one of the world's top AI/SW engineering orgs
6,MIT OpenCourseWare,💻 Software Engineering,Keep,5.5M,https://www.youtube.com/@mitocw,"Full university-level CS, AI, math and engineering lectures — free",Advanced,Free MIT-quality education — the gold standard of academic access
7,freeCodeCamp.org,💻 Software Engineering,Keep,11.4M,https://www.youtube.com/@freecodecamp,"Multi-hour free courses on web, Python, ML/AI, DSA, DevOps",Mixed (All Levels),World's largest free coding curriculum — impossible to ignore
8,The Primeagen,💻 Software Engineering,Add,~500K,https://www.youtube.com/@ThePrimeagen,"Fast, opinionated takes on SWE culture, tools, performance, career",Advanced,Most entertaining high-signal senior-engineer commentary on YouTube
9,Low Level Learning,💻 Software Engineering,Add,~600K,https://www.youtube.com/@LowLevelTV,"Systems programming, memory, performance, OS internals",Advanced,Rare channel covering what actually happens under the hood
10,ByteByteGo,💻 Software Engineering,Add,~1.0M,https://www.youtube.com/@ByteByteGo,"Animated system design breakdowns — Netflix, Uber, AWS architectures",Intermediate,Best visual channel for system design & distributed systems
11,Hussein Nasser,💻 Software Engineering,Add,~950K,https://www.youtube.com/@hnasr,"Database internals, networking protocols, backend perf — Postgres, Redis, Kafka",Advanced,Uniquely deep backend engineering content — no fluff
12,Gaurav Sen,💻 Software Engineering,Add,~600K,https://www.youtube.com/@gkcs,System design fundamentals with whiteboard diagrams and analogies,Intermediate,Clearest foundational system design explainer on YouTube
