channel_name,youtube_url
Marques Brownlee (MKBHD),https://www.youtube.com/@mkbhd
Unbox Therapy,https://www.youtube.com/@UnboxTherapy
Mrwhosetheboss,https://www.youtube.com/@Mrwhosetheboss
Linus Tech Tips,https://www.youtube.com/@LinusTechTips
Austin Evans,https://www.youtube.com/@austinevans
JerryRigEverything,https://www.youtube.com/@JerryRigEverything
Dave2D,https://www.youtube.com/@Dave2D
TechLinked,https://www.youtube.com/@TechLinked
ShortCircuit,https://www.youtube.com/@ShortCircuit
ColdFusion,https://www.youtube.com/@ColdFusion
Bloomberg Technology,https://www.youtube.com/@BloombergTechnology
The Verge,https://www.youtube.com/@TheVerge
CNET,https://www.youtube.com/@CNET
Engadget,https://www.youtube.com/@Engadget
TechCrunch,https://www.youtube.com/@TechCrunch
Fireship,https://www.youtube.com/@Fireship
Traversy Media,https://www.youtube.com/@TraversyMedia
freeCodeCamp.org,https://www.youtube.com/@freecodecamp
Web Dev Simplified,https://www.youtube.com/@WebDevSimplified
Computerphile,https://www.youtube.com/@Computerphile
Two Minute Papers,https://www.youtube.com/@TwoMinutePapers
Sentdex,https://www.youtube.com/@sentdex
TechQuickie,https://www.youtube.com/@Techquickie
NetworkChuck,https://www.youtube.com/@NetworkChuck
Sebastian Lague,https://www.youtube.com/@SebastianLague
MIT OpenCourseWare,https://www.youtube.com/@mitocw
Google Developers,https://www.youtube.com/@GoogleDevelopers
Microsoft Developer,https://www.youtube.com/@MicrosoftDeveloper
Apple Developer,https://www.youtube.com/@AppleDeveloper
TensorFlow,https://www.youtube.com/@TensorFlow
Khan Academy Computing,https://www.youtube.com/@khanacademy
TechWorld with Nana,https://www.youtube.com/@TechWorldwithNana
Academind,https://www.youtube.com/@Academind
Coding Train,https://www.youtube.com/@TheCodingTrain
HackerRank,https://www.youtube.com/@HackerRank
CS Dojo,https://www.youtube.com/@CSDojo
Programming with Mosh,https://www.youtube.com/@programmingwithmosh
TechLead,https://www.youtube.com/@TechLead
Sam Chui Tech,https://www.youtube.com/@SamChui
IBM Technology,https://www.youtube.com/@IBMTechnology
AWS,https://www.youtube.com/@amazonwebservices
Meta Developers,https://www.youtube.com/@MetaDevelopers
Android Developers,https://www.youtube.com/@AndroidDevelopers
TechAltar,https://www.youtube.com/@TechAltar
Digital Foundry,https://www.youtube.com/@DigitalFoundry
EEVblog,https://www.youtube.com/@EEVblog
GreatScott!,https://www.youtube.com/@greatscottlab
LearnLinuxTV,https://www.youtube.com/@LearnLinuxTV
